batch	expt
OEL20_N707_S521	Y12B	K5ERRY_14DPI
OEL19_N729_S505	Y12A	K5ERRY_14DPI
OEL20_N705_S516	Y12B	K5ERRY_14DPI
OEL17_N712_S506	Y11	K5ERRY_7DPI
OEL17_N705_S506	Y10	K5ERRY_7DPI
OEL17_N702_S511	Y10	K5ERRY_7DPI
OEL17_N714_S507	Y11	K5ERRY_7DPI
OEL20_N711_S518	Y12B	K5ERRY_14DPI
OEL17_N706_S502	Y10	K5ERRY_7DPI
OEL19_N728_S503	Y12A	K5ERRY_14DPI
OEL20_N705_S522	Y12B	K5ERRY_14DPI
OEL18_N719_S513	Y11	K5ERRY_7DPI
OEL20_N702_S513	Y12A	K5ERRY_14DPI
OEL17_N701_S511	Y10	K5ERRY_7DPI
OEL17_N705_S511	Y10	K5ERRY_7DPI
OEL19_N729_S508	Y12A	K5ERRY_14DPI
OEL17_N704_S507	Y10	K5ERRY_7DPI
OEL18_N716_S515	Y11	K5ERRY_7DPI
OEL18_N718_S513	Y11	K5ERRY_7DPI
OEL20_N711_S517	Y12B	K5ERRY_14DPI
OEL17_N701_S503	Y10	K5ERRY_7DPI
OEL18_N718_S517	Y11	K5ERRY_7DPI
OEL17_N714_S503	Y11	K5ERRY_7DPI
OEL19_N728_S508	Y12A	K5ERRY_14DPI
OEL18_N716_S517	Y11	K5ERRY_7DPI
OEL17_N707_S510	Y10	K5ERRY_7DPI
OEL17_N702_S505	Y10	K5ERRY_7DPI
OEL20_N707_S520	Y12B	K5ERRY_14DPI
OEL20_N701_S522	Y12A	K5ERRY_14DPI
OEL17_N702_S503	Y10	K5ERRY_7DPI
OEL18_N716_S518	Y11	K5ERRY_7DPI
OEL20_N703_S522	Y12B	K5ERRY_14DPI
OEL19_N727_S505	Y12A	K5ERRY_14DPI
OEL20_N711_S520	Y12B	K5ERRY_14DPI
OEL17_N714_S505	Y11	K5ERRY_7DPI
OEL17_N704_S508	Y10	K5ERRY_7DPI
OEL20_N705_S515	Y12B	K5ERRY_14DPI
OEL19_N727_S510	Y12A	K5ERRY_14DPI
OEL17_N711_S510	Y11	K5ERRY_7DPI
OEL17_N710_S503	Y10	K5ERRY_7DPI
OEL19_N729_S511	Y12A	K5ERRY_14DPI
OEL17_N705_S503	Y10	K5ERRY_7DPI
OEL20_N707_S513	Y12B	K5ERRY_14DPI
OEL17_N704_S503	Y10	K5ERRY_7DPI
OEL20_N704_S516	Y12B	K5ERRY_14DPI
OEL20_N706_S516	Y12B	K5ERRY_14DPI
OEL17_N703_S507	Y10	K5ERRY_7DPI
